Listing ID,Listing Title,Page Name,Amount Per Stay
"1316903","Hyatt Centric The Loop Chicago","hyatt-centric-the-loop-chicago",""
"28884","Hampton Inn Majestic Chicago Theatre District","hampton-inn-majestic-chicago-theatre-district",""
"1629853","Kimpton Gray Hotel Chicago, an IHG Hotel","kimpton-the-gray-chicago1",""
"59369","Central Loop Hotel","c-l-chicago-illinois",""
"56065","Club Quarters Hotel Central Loop, Chicago","club-quarters-central-loop",""
"1468451","Residence Inn by Marriott Chicago Downtown/Loop","residence-inn-by-marriott-chicago-downtown-loop",""
"7736033","The LaSalle Chicago, Autograph Collection","the-lasalle-chicago-autograph-collection",""
"28801","The Palmer House Hilton","the-palmer-house",""
"56896","W Chicago - City Center","w-chicago-city-center",""
"284261","JW Marriott Chicago","jw-marriott-chicago",""
"45479","Staypineapple, An Iconic Hotel, The Loop","staypineapple-the-loop",""
"56368","Silversmith Hotel Chicago Downtown","the-silversmith",""
"10414749","Loop 2BR w Gym Doorman nr L Parks CHI-318","loop-2br-w-gym-doorman-nr-l-parks-chi-318",""
"10877064","Loop Studio w Gym Doorman nr L Parks CHI-300","loop-studio-w-gym-doorman-nr-l-parks-chi-300",""
"9836454","Loop 2BR w Gym Doorman same block as L CHI-674","loop-2br-w-gym-doorman-same-block-as-l-chi-674",""
"9813580","Loop 2BR w Gym Doorman nr L Parks CHI-319","loop-2br-w-gym-doorman-nr-l-parks-chi-319",""
"7121006","Sonder Jewelers Row","sonder-at-jewelers-row",""
"400626","La Quinta by Wyndham Chicago Downtown","la-quinta-inn-chicago",""
"7587822","Hilton Garden Inn- Chicago Central Loop","hilton-garden-inn-chicago-central-loop-il",""
"7587739","Canopy By Hilton Chicago Central Loop","canopy-by-hilton-chicago-central-loop",""
"1334658","Chicago Athletic Association, part of Hyatt","chicago-athletic-association",""
"4046046","Sonder The Plymouth","the-plymouth-premier-suites-by-sonder",""
"2173807","Cambria Hotel Chicago Loop - Theatre District","cambria-suites",""
"10712282","Loop 1BR w Gym Roofdeck nr Financial District CHI-192","loop-1br-w-gym-roofdeck-nr-financial-district-chi-192",""
"9848766","Loop 1BR w Lounge Gym Roof nr L CHI-692","loop-1br-w-lounge-gym-roof-nr-l-chi-692",""
"1353133","Hyatt Place Chicago/Downtown - The Loop","hyatt-place-chicago-47-downtown-the-loop",""
"182592","The Buckingham Hotel","the-buckingham-athletic-club",""
"55916","The Allegro Royal Sonesta Hotel Chicago Loop","allegro-chicago",""
"56130","HI Chicago Hostel","hostelling-international-chicago",""
"23384","Bluegreen Vacations Hotel Blake, Ascend Resort Collection","blake",""
"10462210","Loop 1BR w Gym Roof nr Millennium Park CHI-369","loop-1br-w-gym-roof-nr-millennium-park-chi-369",""
"9783816","Loop 1BR w Gym Roof nr Millennium Park CHI-387","loop-1br-w-gym-roof-nr-millennium-park-chi-387",""
"9756151","Loop 1BR w Gym Roof nr Millennium Park CHI-370","loop-1br-w-gym-roof-nr-millennium-park-chi-370",""
"182226","theWit Chicago, a Hilton Hotel","thewit-a-doubletree",""
"11308977","Ideal Loop 2BR w Gym nr Millennium Park CHI-130","ideal-loop-2br-w-gym-nr-millennium-park-chi-130",""
"10574621","Loop 1BR w Gym Roofdeck nr Millennium Park CHI-249","loop-1br-w-gym-roofdeck-nr-millennium-park-chi-249",""
"10506410","Loop Studio w Gym Roofdeck nr Millennium Park CHI-246","loop-studio-w-gym-roofdeck-nr-millennium-park-chi-246",""
"11929747","Indoor Pool Gym Rooftop-215-by Cloud9","indoor-pool-gym-rooftop-215-by-cloud9",""
"10114446","Loop studio w lounge roof nr Riverwalk CHI-792","loop-studio-w-lounge-roof-nr-riverwalk-chi-792",""
"3961606","Arlo Chicago","julian-chicago-chicago1",""
"180799","Renaissance Chicago Downtown Hotel","renaissance-chicago",""
"9881271","Loop 1BR w Pool Gym nr Financial District CHI-281","loop-1br-w-pool-gym-nr-financial-district-chi-281",""
"9836455","Loop Studio w gym pool lounge 1 block from L CHI-701","loop-studio-w-gym-pool-lounge-1-block-from-l-chi-701",""
"9794815","Loop 1BR w Pool Gym nr Financial District CHI-282","loop-1br-w-pool-gym-nr-financial-district-chi-282",""
"9783876","Loop 1BR w Pool Gym nr Financial District CHI-251","loop-1br-w-pool-gym-nr-financial-district-chi-251",""
"9783851","Loop 1BR w Pool Gym nr Financial District CHI-261","loop-1br-w-pool-gym-nr-financial-district-chi-261",""
"9783848","Loop 2BR w Pool Gym nr Financial District L CHI-247","loop-2br-w-pool-gym-nr-financial-district-l-chi-247",""
"9783835","Loop Studio w Pool Gym Lounge nr Riverwalk CHI-633","loop-studio-w-pool-gym-lounge-nr-riverwalk-chi-633",""
"9783829","Loop 1BR w Pool Gym nr Theatre District L CHI-252","loop-1br-w-pool-gym-nr-theatre-district-l-chi-252",""
"9783827","Loop 1BR w Pool Gym nr the L Riverwalk CHI-242","loop-1br-w-pool-gym-nr-the-l-riverwalk-chi-242",""
